"key";"tweet_id";"tweet_text";"user_id";"date";"is_rtw";"rtw_user_id";"rtw_tweet_id";"is_reply";"reply_tweet_id";"reply_user_id";"lang";"geolocation";"place";"topic"
"668435";"664466791490592768";"RT @XFactor_Italia: Domani guardate #XF9 con la vostra ragazza (o il vostro ragazzo), ma non siate troppo gelosi!  https://t.co/xYUQbLXAdl";"357612794";"Wed Nov 11 16:36:42 CET 2015";"1";"135112407";"664444616658296832";"0";"-1";"-1";"it";\N;\N;"xf9"
"668434";"664466719986081792";"RT @XFactor_Italia: .@WindItalia ha chiesto qual  il vostro brano preferito del 3Live. Ascoltate Lay me down in questa versione #XF9ht";"1410251924";"Wed Nov 11 16:36:25 CET 2015";"1";"135112407";"664464754400821248";"0";"-1";"-1";"it";\N;\N;"xf9"
"668433";"664466529879236608";"Quant' bravo  https://t.co/k8HhPL0qCT";"1179257287";"Wed Nov 11 16:35:40 CET 2015";"0";"0";"0";"0";"-1";"-1";"fr";\N;\N;"xf9"
"668432";"664466475898511360";"mio Leo https://t.co/QmnhTJRCul";"4047844109";"Wed Nov 11 16:35:27 CET 2015";"0";"0";"0";"0";"-1";"-1";"lt";\N;\N;"xf9"
"668431";"664466292624224256";"@XFactor_Italia vero che ci fate vedere i videodiari? #XF9";"3040550159";"Wed Nov 11 16:34:44 CET 2015";"0";"0";"0";"1";"-1";"135112407";"it";\N;\N;"xf9"
"668430";"664466218200514562";"RT @XFactor_Italia: Siamo troppo felici di annunciarvi che i @coldplay saranno ospiti della Finale di #XF9!  https://t.co/aKnFC6GqXq http";"1697566784";"Wed Nov 11 16:34:26 CET 2015";"1";"135112407";"662624708232376320";"0";"-1";"-1";"it";\N;\N;"xf9"
"668429";"664466147346128896";"RT @EPJas2: @Faffetta l'altra volta  andata cos https://t.co/eo8YWauAqy cosa accadr domani? #XF9 #xtra9  cc @LeleAngeli https://t.co/z";"3197934087";"Wed Nov 11 16:34:09 CET 2015";"1";"631136166";"664461295731781632";"0";"-1";"-1";"it";\N;\N;"xf9"
"668428";"664466102760640512";"@XFactor_Italia Forza #Luca e #Leonardo! #TeamMika #XF9";"2479355770";"Wed Nov 11 16:33:58 CET 2015";"0";"0";"0";"1";"664464817239912448";"135112407";"es";"GeoLocation{latitude=44.6492426, longitude=8.0543873}";"PlaceJSONImpl{name='Alba', streetAddress='null', countryCode='IT', id='a5cc19eeeded0af9', country='Italia', placeType='city', url='https://api.twitter.com/1.1/geo/id/a5cc19eeeded0af9.json', fullName='Alba, Piemonte', boundingBoxType='Polygon', boundingBoxCoordinates=[[Ltwitter4j.GeoLocation;@5e77753], geometryType='null', geometryCoordinates=null, containedWithIn=null}";"xf9"
"668427";"664466052957511680";"RT @XFactor_Italia: Domani guardate #XF9 con la vostra ragazza (o il vostro ragazzo), ma non siate troppo gelosi!  https://t.co/xYUQbLXAdl";"3293268484";"Wed Nov 11 16:33:46 CET 2015";"1";"135112407";"664444616658296832";"0";"-1";"-1";"it";\N;\N;"xf9"
"668426";"664465946103455748";"RT @XFactor_Italia: .@WindItalia ha chiesto qual  il vostro brano preferito del 3Live. Ascoltate Lay me down in questa versione #XF9ht";"733324177";"Wed Nov 11 16:33:21 CET 2015";"1";"135112407";"664464754400821248";"0";"-1";"-1";"it";\N;\N;"xf9"
"668425";"664465934195810304";"RT @XFactor_Italia: .@WindItalia ha chiesto qual  il vostro brano preferito del 3Live. Ascoltate Lay me down in questa versione #XF9ht";"2755846367";"Wed Nov 11 16:33:18 CET 2015";"1";"135112407";"664464754400821248";"0";"-1";"-1";"it";\N;\N;"xf9"
"668424";"664465912699994112";"Davvero emozionante #XF9 https://t.co/ggKnRAA9Wz";"1464718795";"Wed Nov 11 16:33:13 CET 2015";"0";"0";"0";"0";"-1";"-1";"it";\N;\N;"xf9"
"668423";"664465909092851712";"RT @XFactor_Italia: Avete fatto una domanda agli Under Uomini con #AskFactor? Vi rispondono qui: https://t.co/8AwuKDRdaR! #XF9";"2755846367";"Wed Nov 11 16:33:12 CET 2015";"1";"135112407";"664464817239912448";"0";"-1";"-1";"it";\N;\N;"xf9"
"668422";"664465852239081472";"RT @XFactor_Italia: .@WindItalia ha chiesto qual  il vostro brano preferito del 3Live. Ascoltate Lay me down in questa versione #XF9ht";"2229918534";"Wed Nov 11 16:32:59 CET 2015";"1";"135112407";"664464754400821248";"0";"-1";"-1";"it";\N;\N;"xf9"
"668421";"664465841967243264";"RT @XFactor_Italia: Avete fatto una domanda agli Under Uomini con #AskFactor? Vi rispondono qui: https://t.co/8AwuKDRdaR! #XF9";"2479355770";"Wed Nov 11 16:32:56 CET 2015";"1";"135112407";"664464817239912448";"0";"-1";"-1";"it";\N;\N;"xf9"
"668420";"664465816834977793";"RT @XFactor_Italia: Domani guardate #XF9 con la vostra ragazza (o il vostro ragazzo), ma non siate troppo gelosi!  https://t.co/xYUQbLXAdl";"453165654";"Wed Nov 11 16:32:50 CET 2015";"1";"135112407";"664444616658296832";"0";"-1";"-1";"it";\N;\N;"xf9"
"668419";"664465738007212032";"RT @XFactor_Italia: Domani guardate #XF9 con la vostra ragazza (o il vostro ragazzo), ma non siate troppo gelosi!  https://t.co/xYUQbLXAdl";"2975436383";"Wed Nov 11 16:32:31 CET 2015";"1";"135112407";"664444616658296832";"0";"-1";"-1";"it";\N;\N;"xf9"
"668418";"664465715316006912";"RT @WindItalia: La canzone pi votata dell'ultimo Wind Bis  Lay me down. Ascoltatela unplugged! #XF9 https://t.co/EFmS140jRahttps://t";"902707484";"Wed Nov 11 16:32:26 CET 2015";"1";"172394505";"664452433985187840";"0";"-1";"-1";"it";\N;\N;"xf9"
"668417";"664465695661539328";"Diamo una svolta al pomeriggio: ecco gli Iron Mais che a #XF9 cantano Sei un mito degli 883  https://t.co/BAh4CpQpZw";"587275129";"Wed Nov 11 16:32:21 CET 2015";"0";"0";"0";"0";"-1";"-1";"it";\N;\N;"xf9"
"668416";"664465629433487360";"RT @XFactor_Italia: Avete fatto una domanda agli Under Uomini con #AskFactor? Vi rispondono qui: https://t.co/8AwuKDRdaR! #XF9";"4164052335";"Wed Nov 11 16:32:05 CET 2015";"1";"135112407";"664464817239912448";"0";"-1";"-1";"it";\N;\N;"xf9"
"668415";"664465525091733504";"RT @XFactor_Italia: Avete fatto una domanda agli Under Uomini con #AskFactor? Vi rispondono qui: https://t.co/8AwuKDRdaR! #XF9";"1860333980";"Wed Nov 11 16:31:41 CET 2015";"1";"135112407";"664464817239912448";"0";"-1";"-1";"it";\N;\N;"xf9"
